Part Number,Month of Price Date,Volume Weighted Price,Volume
192061-01,21-Feb,148,334
192061-01,21-Mar,148,528
192061-01,21-Apr,146,587
192061-01,21-May,146,797
192061-01,21-Jun,148,459
192061-01,21-Jul,148,448
192061-01,21-Aug,146,504
192061-01,21-Sep,146,500
192061-01,21-Oct,149,506
192061-01,21-Nov,149,520
192061-01,21-Dec,148,538
192061-01,22-Jan,147,796
192061-01,22-Feb,165,641
192061-01,22-Mar,166,579
192061-01,22-Apr,165,486
192061-01,22-May,161,586
192061-01,22-Jun,162,551
192061-01,22-Jul,160,544
192061-01,22-Aug,165,605
192061-01,22-Sep,164,594
192061-01,22-Oct,160,406
192061-01,22-Nov,162,230
192061-01,22-Dec,164,603
192061-02,21-Feb,188,1193
192061-02,21-Mar,188,1680
192061-02,21-Apr,186,1457
192061-02,21-May,186,1082
192061-02,21-Jun,187,1381
192061-02,21-Jul,188,1377
192061-02,21-Aug,186,1459
192061-02,21-Sep,185,1573
192061-02,21-Oct,190,1193
192061-02,21-Nov,189,1400
192061-02,21-Dec,188,1195
192061-02,22-Jan,187,1835
192061-02,22-Feb,210,1376
192061-02,22-Mar,210,1506
192061-02,22-Apr,209,974
192061-02,22-May,204,1291
192061-02,22-Jun,205,1847
192061-02,22-Jul,203,1253
192061-02,22-Aug,207,1912
192061-02,22-Sep,205,1283
192061-02,22-Oct,201,1007
192061-02,22-Nov,202,710
192061-02,22-Dec,205,1557
196917-01,21-Feb,47,679
196917-01,21-Mar,47,717
196917-01,21-Apr,46,548
196917-01,21-May,46,736
196917-01,21-Jun,46,855
196917-01,21-Jul,46,663
196917-01,21-Aug,46,630
196917-01,21-Sep,46,1021
196917-01,21-Oct,48,648
196917-01,21-Nov,48,835
196917-01,21-Dec,48,1162
196917-01,22-Jan,48,172
196917-01,22-Feb,55,838
196917-01,22-Mar,55,921
196917-01,22-Apr,55,406
196917-01,22-May,54,674
196917-01,22-Jun,54,732
196917-01,22-Jul,53,393
196917-01,22-Aug,58,708
196917-01,22-Sep,57,680
196917-01,22-Oct,56,369
196917-01,22-Nov,57,535
196917-01,22-Dec,58,733
763061-03,21-Feb,169,84
763061-03,21-Mar,168,100
763061-03,21-Apr,167,113
763061-03,21-May,167,240
763061-03,21-Jun,168,147
763061-03,21-Jul,168,127
763061-03,21-Aug,166,64
763061-03,21-Sep,166,65
763061-03,21-Oct,175,97
763061-03,21-Nov,174,145
763061-03,21-Dec,174,418
763061-03,22-Jan,173,78
763061-03,22-Feb,199,82
763061-03,22-Mar,200,45
763061-03,22-Apr,199,417
763061-03,22-May,194,269
763061-03,22-Jun,194,90
763061-03,22-Jul,193,54
763061-03,22-Aug,204,71
763061-03,22-Sep,203,55
763061-03,22-Oct,199,124
763061-03,22-Nov,200,319
776670-35WM,21-Feb,3897,63
776670-35WM,21-Mar,3893,86
776670-35WM,21-Apr,3870,58
776670-35WM,21-May,3858,59
776670-35WM,21-Jun,3885,77
776670-35WM,21-Jul,3894,69
776670-35WM,21-Aug,3851,53
776670-35WM,21-Sep,3840,99
776670-35WM,21-Oct,4117,45
776670-35WM,21-Nov,4095,77
776670-35WM,21-Dec,4085,55
776670-35WM,22-Jan,4076,51
776678-35,21-Feb,6534,486
776678-35,21-Mar,6509,667
776678-35,21-Apr,6470,411
776678-35,21-May,6452,390
778927-01,21-Feb,1305,273
778927-01,21-Mar,1302,338
778927-01,21-Apr,1293,465
778927-01,21-May,1288,787
778927-01,21-Jun,1299,266
778927-01,21-Jul,1301,714
778927-01,21-Aug,1286,1337
778927-01,21-Sep,1282,552
778927-01,21-Oct,1349,607
778927-01,21-Nov,1343,205
778927-01,21-Dec,1340,382
778927-01,22-Jan,1334,517
778927-01,22-Feb,1530,212
778927-01,22-Mar,1532,213
778927-01,22-Apr,1524,218
778927-01,22-May,1487,351
778927-01,22-Jun,1487,274
778927-01,22-Jul,1473,342
778927-01,22-Aug,1554,498
778927-01,22-Sep,1541,404
778927-01,22-Oct,1500,225
778927-01,22-Nov,1518,116
778927-01,22-Dec,1544,387
779018-01,21-Feb,46,239
779018-01,21-Mar,45,327
779018-01,21-Apr,45,236
779018-01,21-May,45,302
779018-01,21-Jun,45,356
779018-01,21-Jul,45,221
779018-01,21-Aug,45,275
779018-01,21-Sep,45,220
779018-01,21-Oct,47,213
779018-01,21-Nov,47,301
779018-01,21-Dec,47,270
779018-01,22-Jan,47,132
779018-01,22-Feb,54,248
779018-01,22-Mar,54,317
779018-01,22-Apr,54,196
779018-01,22-May,53,320
779018-01,22-Jun,53,724
779018-01,22-Jul,52,233
779018-01,22-Aug,57,89
779018-01,22-Sep,57,118
779018-01,22-Oct,55,83
779018-01,22-Nov,56,95
779018-01,22-Dec,57,192
779019-01,21-Feb,46,169
779019-01,21-Mar,45,225
779019-01,21-Apr,45,256
779019-01,21-May,45,190
779019-01,21-Jun,45,219
779019-01,21-Jul,45,206
779019-01,21-Aug,45,176
779019-01,21-Sep,45,251
779019-01,21-Oct,47,144
779019-01,21-Nov,47,229
779019-01,21-Dec,47,189
779019-01,22-Jan,47,203
779019-01,22-Feb,54,197
779019-01,22-Mar,54,228
779019-01,22-Apr,54,227
779019-01,22-May,53,141
779019-01,22-Jun,53,309
779019-01,22-Jul,52,259
779019-01,22-Aug,57,407
779019-01,22-Sep,57,198
779019-01,22-Oct,55,111
779019-01,22-Nov,56,153
779019-01,22-Dec,57,183
779139-01,21-Feb,538,252
779139-01,21-Mar,536,540
779139-01,21-Apr,532,210
779139-01,21-May,531,189
779139-01,21-Jun,535,283
779139-01,21-Jul,535,166
779139-01,21-Aug,530,253
779139-01,21-Sep,529,137
779139-01,21-Oct,555,221
779139-01,21-Nov,553,448
779139-01,21-Dec,551,194
779139-01,22-Jan,550,295
779139-01,22-Feb,630,316
779139-01,22-Mar,631,272
779139-01,22-Apr,628,198
779139-01,22-May,613,231
779139-01,22-Jun,613,333
779139-01,22-Jul,607,224
779139-01,22-Aug,648,262
779139-01,22-Sep,644,141
779139-01,22-Oct,626,226
779139-01,22-Nov,634,114
779139-01,22-Dec,645,351
779140-01,21-Feb,561,254
779140-01,21-Mar,560,226
